"Transaction Description,Amount (GBP),Category"
"Whole Foods Market - Grocery Shopping,50.75,""Groceries"""
"ATM Withdrawal - XYZ Bank Branch,100.00,""Cash Withdrawal"""
"Direct Deposit - Your Company Payroll,2000.00,""Income"""
"Verizon Wireless - Monthly Phone Bill,75.50,""Utilities"""
"Transfer from Savings to Checking - Emergency Fund,500.00,""Transfers"""
"Chase Credit Card Payment - Visa **** 1234,350.25,""Credit Card Payment"""
"Savings Account Interest - October,15.60,""Interest"""
"Rent Payment - Apt #203,1200.00,""Housing"""
"Amazon.com - Online Shopping,89.99,""Online Shopping"""
"Monthly Service Fee - Checking Account Maintenance,10.00,""Bank Fees"""
"Walmart - Household Supplies,75.20,""Groceries"""
"ATM Withdrawal - ABC Bank ATM,60.00,""Cash Withdrawal"""
"Gas Station - Fuel Purchase,40.45,""Transportation"""
"Netflix Subscription - Monthly Charge,12.99,""Streaming Services"""
"Transfer to Savings Account - Rainy Day Fund,300.00,""Transfers"""
"Credit Card Payment - Mastercard **** 5678,150.00,""Credit Card Payment"""
"Electricity Bill Payment - Utility Co.,85.00,""Utilities"""
"Dining Out - Restaurant Name,65.75,""Dining Out"""
"Paycheck Deposit - Your Employer,2500.00,""Income"""
"Internet Service Payment - Provider Name,70.00,""Utilities"""
"Pharmacy - Prescription Medications,30.80,""Healthcare"""
"ATM Withdrawal - DEF Bank ATM,80.00,""Cash Withdrawal"""
"Grocery Store - Weekly Shopping,90.25,""Groceries"""
"Transfer from Checking to Savings,200.00,""Transfers"""
"Credit Card Payment - Discover **** 9012,120.50,""Credit Card Payment"""
"Monthly Service Fee - Account Maintenance,10.00,""Bank Fees"""
"Home Depot - Home Improvement,110.30,""Home Improvement"""
"Mobile Phone Bill - Service Provider,50.00,""Utilities"""
"Car Loan Payment - Auto Finance Inc.,300.00,""Loan Payment"""
"Coffee Shop - Morning Brew,5.25,""Dining Out"""
"Paycheck Deposit - Company Name,2400.00,""Income"""
"Online Retailer - Clothing Purchase,70.99,""Online Shopping"""
"Transfer to Investment Account,500.00,""Transfers"""
"Gas Station - Fuel Purchase,45.60,""Transportation"""
"Credit Card Payment - American Express **** 3456,200.00,""Credit Card Payment"""
"Water Bill Payment - Municipality,60.75,""Utilities"""
"Restaurant - Dinner with Friends,100.00,""Dining Out"""
"ATM Withdrawal - GHI Bank ATM,60.00,""Cash Withdrawal"""
"Amazon Prime Membership Renewal,12.99,""Online Shopping"""
"Transfer from Savings to Checking,300.00,""Transfers"""
"Doctor's Office - Medical Consultation,75.00,""Healthcare"""
"Monthly Service Fee - Bank Account,10.00,""Bank Fees"""
"Electronics Store - Gadget Purchase,250.50,""Electronics"""
"Charitable Donation - Charity Name,50.00,""Charity"""
"Grocery Store - Fresh Produce,35.45,""Groceries"""
"ATM Withdrawal - JKL Bank ATM,100.00,""Cash Withdrawal"""
"Netflix Subscription - Monthly Charge,12.99,""Streaming Services"""
"Transfer to Emergency Fund,200.00,""Transfers"""
"Credit Card Payment - Visa **** 7890,75.25,""Credit Card Payment"""
"Utilities Payment - Gas and Electric,95.00,""Utilities"""
"Fast Food - Lunch on the Go,15.20,""Dining Out"""
"Paycheck Deposit - Your Company Payroll,2600.00,""Income"""
"Online Retailer - Electronics Purchase,199.99,""Online Shopping"""
"Transfer to Vacation Fund,300.00,""Transfers"""
"Gas Station - Fuel Purchase,40.75,""Transportation"""
"Credit Card Payment - Mastercard **** 2345,125.50,""Credit Card Payment"""
"Phone Bill Payment - Wireless Provider,70.00,""Utilities"""
"Pharmacy - Prescription Medications,28.60,""Healthcare"""
"ATM Withdrawal - MNO Bank ATM,80.00,""Cash Withdrawal"""
"Grocery Store - Household Supplies,60.25,""Groceries"""
"Transfer from Checking to Savings,150.00,""Transfers"""
"Amazon.com - Online Shopping,120.99,""Online Shopping"""
"Monthly Service Fee - Account Maintenance,10.00,""Bank Fees"""
"Home Improvement Store - DIY Supplies,75.40,""Home Improvement"""
"Car Loan Payment - Auto Finance Inc.,300.00,""Loan Payment"""
"Coffee Shop - Morning Brew,4.75,""Dining Out"""
"Paycheck Deposit - Company Name,2300.00,""Income"""
"Online Retailer - Clothing Purchase,80.99,""Online Shopping"""
"Transfer to Investment Account,400.00,""Transfers"""
"Gas Station - Fuel Purchase,43.60,""Transportation"""
"Credit Card Payment - American Express **** 6789,180.00,""Credit Card Payment"""
"Water Bill Payment - Municipality,65.75,""Utilities"""
"Restaurant - Dinner with Friends,90.00,""Dining Out"""
"ATM Withdrawal - PQR Bank ATM,70.00,""Cash Withdrawal"""
"Amazon Prime Membership Renewal,12.99,""Online Shopping"""
"Transfer from Savings to Checking,250.00,""Transfers"""
"Doctor's Office - Medical Consultation,65.00,""Healthcare"""
"Monthly Service Fee - Bank Account,10.00,""Bank Fees"""
"Electronics Store - Gadget Purchase,180.75,""Electronics"""
"Charitable Donation - Charity Name,30.00,""Charity"""
"Grocery Store - Fresh Produce,38.45,""Groceries"""
"ATM Withdrawal - STU Bank ATM,100.00,""Cash Withdrawal"""
"Netflix Subscription - Monthly Charge,12.99,""Streaming Services"""
"Transfer to Emergency Fund,150.00,""Transfers"""
"Credit Card Payment - Visa **** 1234,50.75,""Credit Card Payment"""
"Utilities Payment - Gas and Electric,85.00,""Utilities"""
"Fast Food - Lunch on the Go,10.50,""Dining Out"""
"Paycheck Deposit - Your Company Payroll,2800.00,""Income"""
"Online Retailer - Electronics Purchase,299.99,""Online Shopping"""
"Transfer to Vacation Fund,400.00,""Transfers"""
"Gas Station - Fuel Purchase,42.75,""Transportation"""
"Credit Card Payment - Mastercard **** 5678,135.00,""Credit Card Payment"""
"Phone Bill Payment - Wireless Provider,65.00,""Utilities"""
"Pharmacy - Prescription Medications,32.80,""Healthcare"""
"ATM Withdrawal - VWX Bank ATM,70.00,""Cash Withdrawal"""
"Grocery Shopping - Supermart,56.75,""Groceries"""
"ATM Withdrawal - XYZ Bank Branch,100.00,""Cash Withdrawal"""
"Salary Deposit - ABC Company,2500.00,""Income"""
"Internet Bill Payment - ISP Inc.,85.50,""Utilities"""
"Transfer from Savings to Checking,500.00,""Transfers"""
"Clothing Store Purchase - Fashion World,120.25,""Shopping"""
"Interest Earned - Savings Account,10.80,""Interest"""
"Rent Payment - Apt #303,1500.00,""Housing"""
"Online Shopping - Amazon,79.99,""Online Shopping"""
"Monthly Account Maintenance Fee,7.00,""Bank Fees"""
"Home Improvement - Home Depot,110.45,""Home Improvement"""
"Mobile Phone Bill Payment - Mobile Co.,45.00,""Utilities"""
"Car Loan Payment - Auto Finance Inc.,300.00,""Loan Payment"""
"Coffee Shop - Latte and Croissant,6.75,""Dining Out"""
"Salary Deposit - XYZ Corporation,2800.00,""Income"""
"Electronics Store Purchase - Tech Haven,249.99,""Electronics"""
"Charitable Donation - Red Cross,50.00,""Charity"""
"Grocery Shopping - Fresh Mart,45.30,""Groceries"""
"ATM Withdrawal - PQR Bank ATM,80.00,""Cash Withdrawal"""
"Netflix Subscription - Monthly Charge,12.99,""Streaming Services"""
"Transfer to Emergency Fund,200.00,""Transfers"""
"Credit Card Payment - Visa **** 1234,75.25,""Credit Card Payment"""
"Utilities Payment - Gas and Electric,95.00,""Utilities"""
"Fast Food - Lunch Combo,10.50,""Dining Out"""
"Paycheck Deposit - ABC Inc.,2600.00,""Income"""
"Online Retailer - Electronics Purchase,199.99,""Online Shopping"""
"Transfer to Vacation Fund,400.00,""Transfers"""
"Fuel Purchase - Gas Station,40.75,""Transportation"""
"Credit Card Payment - Mastercard **** 5678,135.50,""Credit Card Payment"""
"Phone Bill Payment - Mobile Co.,65.00,""Utilities"""
"Prescription Medications - Pharmacy,28.80,""Healthcare"""
"ATM Withdrawal - MNO Bank ATM,80.00,""Cash Withdrawal"""
"Grocery Shopping - Mega Mart,65.25,""Groceries"""
"Transfer from Checking to Savings,150.00,""Transfers"""
"Online Shopping - Electronics,149.99,""Online Shopping"""
"Monthly Account Maintenance Fee,7.00,""Bank Fees"""
"Home Improvement - Hardware Store,85.60,""Home Improvement"""
"Car Loan Payment - Auto Finance Inc.,300.00,""Loan Payment"""
"Coffee Shop - Cappuccino,5.25,""Dining Out"""
"Paycheck Deposit - ABC Corp.,2700.00,""Income"""
"Online Retailer - Clothing Purchase,75.99,""Online Shopping"""
"Transfer to Investment Account,450.00,""Transfers"""
"Fuel Purchase - Gas Station,45.60,""Transportation"""
"Credit Card Payment - Visa **** 7890,85.25,""Credit Card Payment"""
"Utilities Payment - Water and Sewer,60.75,""Utilities"""
"Restaurant Dinner - Date Night,90.00,""Dining Out"""
"ATM Withdrawal - XYZ Bank ATM,70.00,""Cash Withdrawal"""
"Amazon Prime Membership Renewal,12.99,""Online Shopping"""
"Transfer from Savings to Checking,250.00,""Transfers"""
"Medical Consultation - Doctor's Office,75.00,""Healthcare"""
"Monthly Account Maintenance Fee,7.00,""Bank Fees"""
"Gadget Purchase - Tech Paradise,189.75,""Electronics"""
"Charitable Donation - Local Animal Shelter,30.00,""Charity"""
"Grocery Shopping - Fresh Grocers,58.40,""Groceries"""
"ATM Withdrawal - ABC Bank ATM,60.00,""Cash Withdrawal"""
"Netflix Subscription - Monthly Charge,12.99,""Streaming Services"""
"Transfer to Emergency Fund,175.00,""Transfers"""
"Credit Card Payment - Mastercard **** 2345,120.25,""Credit Card Payment"""
"Utilities Payment - Electricity,80.00,""Utilities"""
"Fast Food - Dinner Combo,15.25,""Dining Out"""
"Paycheck Deposit - XYZ Ltd.,2800.00,""Income"""
"Online Retailer - Tech Gadgets,249.99,""Online Shopping"""
"Transfer to Vacation Fund,350.00,""Transfers"""
"Fuel Purchase - Gas Station,42.75,""Transportation"""
"Credit Card Payment - American Express **** 5678,175.00,""Credit Card Payment"""
"Utilities Payment - Gas and Electric,85.50,""Utilities"""
"Pharmacy - Prescription Medications,32.50,""Healthcare"""
"ATM Withdrawal - DEF Bank ATM,90.00,""Cash Withdrawal"""
"Grocery Shopping - Super Value Mart,55.25,""Groceries"""
"Transfer from Checking to Savings,200.00,""Transfers"""
"Online Shopping - Apparel,69.99,""Online Shopping"""
"Monthly Account Maintenance Fee,7.00,""Bank Fees"""
"Home Improvement - Renovation Supplies,120.30,""Home Improvement"""
"Car Loan Payment - Auto Finance Inc.,300.00,""Loan Payment"""
"Coffee Shop - Morning Espresso,4.50,""Dining Out"""
"Paycheck Deposit - XYZ Inc.,2700.00,""Income"""
"Online Retailer - Home Decor,89.99,""Online Shopping"""
"Transfer to Investment Account,500.00,""Transfers"""
"Fuel Purchase - Gas Station,46.40,""Transportation"""
"Credit Card Payment - Visa **** 4567,95.75,""Credit Card Payment"""
"Utilities Payment - Internet Service,60.00,""Utilities"""
"Doctor's Office - Medical Checkup,85.00,""Healthcare"""
"ATM Withdrawal - GHI Bank ATM,70.00,""Cash Withdrawal"""
"Grocery Shopping - Neighborhood Store,44.75,""Groceries"""
"Transfer from Savings to Checking,175.00,""Transfers"""
"Online Shopping - Tech Accessories,59.99,""Online Shopping"""
"Monthly Account Maintenance Fee,7.00,""Bank Fees"""
"Home Improvement - Paint and Supplies,110.75,""Home Improvement"""
"Car Loan Payment - Auto Finance Inc.,300.00,""Loan Payment"""
"Coffee Shop - Afternoon Pick-Me-Up,5.75,""Dining Out"""
"Paycheck Deposit - ABC Corp.,2900.00,""Income"""
"Online Retailer - Outdoor Gear,179.99,""Online Shopping"""
"Transfer to Vacation Fund,350.00,""Transfers"""
"Fuel Purchase - Gas Station,43.25,""Transportation"""
"Credit Card Payment - Mastercard **** 6789,150.50,""Credit Card Payment"""
"Utilities Payment - Water and Sewer,65.00,""Utilities"""
"Restaurant Lunch - Business Meeting,75.00,""Dining Out"""
"ATM Withdrawal - JKL Bank ATM,90.00,""Cash Withdrawal"""
"General Hospital - Checkup,120.00,""Healthcare"""
"Dental Clinic - Teeth Cleaning,80.00,""Healthcare"""
"Physical Therapy Session - Back Pain,150.00,""Healthcare"""
"Pharmacy - Prescription Medications,45.00,""Healthcare"""
"Vision Center - Eye Exam,95.00,""Healthcare"""
"Medical Lab - Blood Test,65.00,""Healthcare"""
"Pediatrician - Child's Checkup,90.00,""Healthcare"""
"Chiropractor - Spinal Adjustment,75.00,""Healthcare"""
"Optometrist - Vision Checkup,85.00,""Healthcare"""
"Psychiatrist - Therapy Session,120.00,""Healthcare"""
"Dermatologist - Skin Consultation,110.00,""Healthcare"""
"Urgent Care Center - Injury Treatment,130.00,""Healthcare"""
"Radiology Center - X-ray Scan,95.00,""Healthcare"""
"Orthopedic Clinic - Knee Examination,140.00,""Healthcare"""
"Speech Therapy Session - Speech Disorder,100.00,""Healthcare"""
"Cardiology Clinic - Heart Checkup,150.00,""Healthcare"""
"Rehabilitation Center - Physical Therapy,120.00,""Healthcare"""
"ENT Specialist - Ear and Throat Exam,110.00,""Healthcare"""
"Gynecologist - Women's Health Check,95.00,""Healthcare"""
"Home Healthcare Services - Nursing Care,180.00,""Healthcare"""
"Behavioral Health Center - Counseling,130.00,""Healthcare"""
"Allergy Clinic - Allergy Testing,75.00,""Healthcare"""
"Sleep Clinic - Sleep Study,200.00,""Healthcare"""
"Veterinary Clinic - Pet Checkup,65.00,""Healthcare"""
"Podiatrist - Foot Examination,90.00,""Healthcare"""
"Occupational Therapy - Injury Recovery,140.00,""Healthcare"""
"Radiation Oncology - Cancer Treatment,250.00,""Healthcare"""
"Dental Surgery - Wisdom Tooth Extraction,180.00,""Healthcare"""
"Reproductive Health Center - Fertility Consultation,120.00,""Healthcare"""
"Pain Management Clinic - Chronic Pain Relief,160.00,""Healthcare"""
"Eye Surgery Center - LASIK Surgery,200.00,""Healthcare"""
"Pediatric Dentistry - Child's Dental Care,85.00,""Healthcare"""
"Gastroenterologist - Digestive Health Check,140.00,""Healthcare"""
"Acupuncture Therapy - Pain Relief,75.00,""Healthcare"""
"Plastic Surgery Center - Cosmetic Procedure,300.00,""Healthcare"""
"Speech-Language Pathologist - Speech Therapy,110.00,""Healthcare"""
"Neurology Clinic - Neurological Assessment,170.00,""Healthcare"""
"Cardiac Rehabilitation - Heart Health Program,190.00,""Healthcare"""
"Home Health Aide - In-Home Care,140.00,""Healthcare"""
"Physiatrist - Physical Medicine,130.00,""Healthcare"""
"Audiologist - Hearing Test,90.00,""Healthcare"""
"Geriatric Care - Elderly Health Check,160.00,""Healthcare"""
"Behavioral Therapy - Mental Health Counseling,120.00,""Healthcare"""
"Rheumatology Clinic - Joint Health Check,150.00,""Healthcare"""
"Pulmonology Center - Lung Function Test,140.00,""Healthcare"""
"Endocrinology Clinic - Hormone Evaluation,130.00,""Healthcare"""
"Family Medicine - Primary Care Visit,95.00,""Healthcare"""
"Immunization Clinic - Vaccinations,50.00,""Healthcare"""
"Sleep Apnea Center - Sleep Disorder Assessment,180.00,""Healthcare"""
"Orthodontic Office - Braces Adjustment,75.00,""Healthcare"""
"Physical Rehabilitation - Injury Recovery,160.00,""Healthcare"""
"Home Care Supplies - Medical Equipment,110.00,""Healthcare"""
"Sports Medicine Clinic - Injury Evaluation,140.00,""Healthcare"""
"Orthopedic Surgery - Joint Replacement,300.00,""Healthcare"""
"Urology Clinic - Urinary Health Check,120.00,""Healthcare"""
"Behavioral Health Hospital - Inpatient Care,250.00,""Healthcare"""
"Pediatric Urgent Care - Child's Illness Treatment,130.00,""Healthcare"""
"Geriatric Psychiatry - Elderly Mental Health,170.00,""Healthcare"""
"Prosthetics Clinic - Prosthetic Limbs,200.00,""Healthcare"""
"Neonatology - Newborn Care,140.00,""Healthcare"""
"Dental Implant Surgery - Implant Procedure,180.00,""Healthcare"""
"Hematology Clinic - Blood Disorder Consultation,160.00,""Healthcare"""
"Infusion Center - IV Therapy,110.00,""Healthcare"""
"Maternity Clinic - Prenatal Checkup,120.00,""Healthcare"""
"Telemedicine Consultation - Remote Medical Advice,85.00,""Healthcare"""
"Neurological Surgery - Brain Surgery,350.00,""Healthcare"""
"Home Hospice Care - End-of-Life Care,200.00,""Healthcare"""
"Speech and Hearing Center - Communication Evaluation,130.00,""Healthcare"""
"Gynecologic Surgery - Surgical Procedure,300.00,""Healthcare"""
"Pediatric Cardiology - Child's Heart Check,170.00,""Healthcare"""
"Orthopedic Rehabilitation - Joint Recovery,160.00,""Healthcare"""
"Medical Nutrition Therapy - Dietary Consultation,95.00,""Healthcare"""
"Geriatric Dentistry - Elderly Dental Care,90.00,""Healthcare"""
"Behavioral Health Counseling - Mental Health Support,120.00,""Healthcare"""
"Physical Medicine and Rehabilitation - Therapy Session,140.00,""Healthcare"""
"Home Health Nursing - In-Home Nursing Care,180.00,""Healthcare"""
"Zara - Clothing Purchase,150.00,""Shopping"""
"Mango - Fashion Shopping,120.00,""Shopping"""
"Apple Store - Electronics Purchase,950.00,""Shopping"""
"Gucci - Luxury Fashion Shopping,1000.00,""Shopping"""
"Louis Vuitton - Designer Handbag,2500.00,""Shopping"""
"Amazon - Online Shopping,180.00,""Shopping"""
"Best Buy - Electronics Purchase,750.00,""Shopping"""
"Prada - High-End Fashion,1800.00,""Shopping"""
"Nike - Sportswear Shopping,200.00,""Shopping"""
"Tiffany & Co. - Jewelry Purchase,3500.00,""Shopping"""
"Harrods - Luxury Shopping,2800.00,""Shopping"""
"Burberry - Fashion Purchase,900.00,""Shopping"""
"Samsung - Electronics Purchase,850.00,""Shopping"""
"Rolex Boutique - Luxury Watch,8500.00,""Shopping"""
"Chanel - Designer Fashion,2800.00,""Shopping"""
"Neiman Marcus - Designer Shopping,1500.00,""Shopping"""
"Balenciaga - Fashion Shopping,1400.00,""Shopping"""
"Sony Store - Electronics Purchase,950.00,""Shopping"""
"Fendi - Luxury Fashion,2100.00,""Shopping"""
"Dior - Designer Apparel,2200.00,""Shopping"""
"Cartier - Fine Jewelry Purchase,4200.00,""Shopping"""
"Versace - Fashion Shopping,1300.00,""Shopping"""
"Lululemon - Activewear Shopping,180.00,""Shopping"""
"Saks Fifth Avenue - Designer Shopping,1600.00,""Shopping"""
"Tesla Store - Electric Car Purchase,60000.00,""Shopping"""
"Jimmy Choo - Luxury Footwear,900.00,""Shopping"""
"Hermès - Designer Accessories,3200.00,""Shopping"""
"Ralph Lauren - Fashion Purchase,800.00,""Shopping"""
"Prada - Luxury Handbag,2500.00,""Shopping"""
"Celine - Designer Fashion,1900.00,""Shopping"""
"Yves Saint Laurent - High-End Apparel,2200.00,""Shopping"""
"Christian Louboutin - Designer Shoes,1200.00,""Shopping"""
"Tesla Store - Home Charging Equipment,1200.00,""Shopping"""
"Bottega Veneta - Luxury Fashion,2400.00,""Shopping"""
"Alexander McQueen - Fashion Purchase,1100.00,""Shopping"""
"Louis Vuitton - Luxury Luggage,3200.00,""Shopping"""
"Rolex Boutique - Exclusive Watch,9500.00,""Shopping"""
"Givenchy - Designer Apparel,1600.00,""Shopping"""
"Tom Ford - High-End Fashion,1900.00,""Shopping"""
"Bang & Olufsen - Audio Equipment,2200.00,""Shopping"""
"Tiffany & Co. - Diamond Jewelry,5500.00,""Shopping"""
"Bvlgari - Luxury Accessories,2800.00,""Shopping"""
"Chopard - Fine Jewelry Purchase,4700.00,""Shopping"""
"Samsung - 8K QLED TV,3200.00,""Shopping"""
"Zegna - Men's Fashion Shopping,1000.00,""Shopping"""
"Sony Store - 4K OLED TV,2400.00,""Shopping"""
"Net-a-Porter - Luxury Online Shopping,1500.00,""Shopping"""
"Cartier - Watch and Jewelry,3800.00,""Shopping"""
"H&M - Clothing Purchase,45.00,""Shopping"""
"Forever 21 - Fashion Shopping,35.00,""Shopping"""
"Old Navy - Casual Apparel,30.00,""Shopping"""
"Zara - Affordable Fashion,55.00,""Shopping"""
"Uniqlo - Everyday Wear,40.00,""Shopping"""
"Target - Discount Shopping,50.00,""Shopping"""
"Walmart - Affordable Shopping,45.00,""Shopping"""
"Gap - Fashion Purchase,50.00,""Shopping"""
"Asos - Online Fashion Shopping,55.00,""Shopping"""
"Primark - Budget Fashion,20.00,""Shopping"""
"Cotton On - Affordable Clothing,25.00,""Shopping"""
"PacSun - Casual Wear,35.00,""Shopping"""
"Decathlon - Sportswear Shopping,60.00,""Shopping"""
"Foot Locker - Athletic Footwear,50.00,""Shopping"""
"Zalando - Affordable Online Shopping,45.00,""Shopping"""
"Kohl's - Department Store Purchase,60.00,""Shopping"""
"JCPenney - Discount Fashion,40.00,""Shopping"""
"Ross Dress for Less - Bargain Shopping,30.00,""Shopping"""
"Forever 21 - Accessories,15.00,""Shopping"""
"New Look - Fashion Bargains,25.00,""Shopping"""
"Boohoo - Trendy Fashion,35.00,""Shopping"""
"Hollister - Youth Fashion,45.00,""Shopping"""
"Charlotte Russe - Affordable Apparel,30.00,""Shopping"""
"Puma - Budget Sportswear,40.00,""Shopping"""
"Aldo - Affordable Footwear,35.00,""Shopping"""
"Topshop - Affordable Style,50.00,""Shopping"""
"Payless ShoeSource - Inexpensive Shoes,20.00,""Shopping"""
"Charlotte Russe - Jewelry,10.00,""Shopping"""
"Urban Outfitters - Affordable Fashion,55.00,""Shopping"""
"C&A - Budget Clothing,30.00,""Shopping"""
"Converse Outlet - Discounted Sneakers,40.00,""Shopping"""
"New Balance - Affordable Sportswear,45.00,""Shopping"""
"Forever 21 - Activewear,30.00,""Shopping"""
"Boohoo - Cheap Fashion Finds,25.00,""Shopping"""
"Zara - Kids' Clothing,35.00,""Shopping"""
"H&M - Accessories,15.00,""Shopping"""
"Forever 21 - Swimwear,20.00,""Shopping"""
"Primark - Budget Homeware,25.00,""Shopping"""
"Old Navy - Family Apparel,55.00,""Shopping"""
"Walmart - Household Essentials,45.00,""Shopping"""
"Gap - Kids' Fashion,30.00,""Shopping"""
"Asos - Men's Clothing,40.00,""Shopping"""
"Uniqlo - Affordable Denim,35.00,""Shopping"""
"Kohl's - Home Decor,60.00,""Shopping"""
"Target - Back-to-School Shopping,50.00,""Shopping"""
"Cotton On - Kids' Fashion,30.00,""Shopping"""
"PacSun - Teen Fashion,45.00,""Shopping"""
"Tesco,55.00,""Groceries"""
"Sainsbury's,40.00,""Groceries"""
"Asda,50.00,""Groceries"""
"Morrisons,45.00,""Groceries"""
"Aldi,30.00,""Groceries"""
"Lidl,35.00,""Groceries"""
"Waitrose,60.00,""Groceries"""
"Co-op,40.00,""Groceries"""
"Marks & Spencer,55.00,""Groceries"""
"Whole Foods Market,70.00,""Groceries"""
"Trader Joe's,50.00,""Groceries"""
"Publix,45.00,""Groceries"""
"Kroger,40.00,""Groceries"""
"Walmart Grocery,60.00,""Groceries"""
"Target Grocery,50.00,""Groceries"""
"Coles,55.00,""Groceries"""
"Woolworths,45.00,""Groceries"""
"IGA,40.00,""Groceries"""
"Safeway,50.00,""Groceries"""
"SuperValu,35.00,""Groceries"""
"Costco Wholesale,80.00,""Groceries"""
"BJ's Wholesale Club,70.00,""Groceries"""
"WinCo Foods,40.00,""Groceries"""
"Food Lion,45.00,""Groceries"""
"Harris Teeter,50.00,""Groceries"""
"Ralphs,40.00,""Groceries"""
"Publix Super Markets,55.00,""Groceries"""
"ShopRite,50.00,""Groceries"""
"Giant Food,45.00,""Groceries"""
"Hy-Vee,40.00,""Groceries"""
"Fry's Food Stores,60.00,""Groceries"""
"Meijer,50.00,""Groceries"""
"HEB Grocery,55.00,""Groceries"""
"Wegmans,60.00,""Groceries"""
"Albertsons,45.00,""Groceries"""
"Kmart Super Centers,50.00,""Groceries"""
"Shaw's,40.00,""Groceries"""
"Acme Markets,45.00,""Groceries"""
"Food 4 Less,30.00,""Groceries"""
"Piggly Wiggly,35.00,""Groceries"""
"Save Mart Supermarkets,45.00,""Groceries"""
"Price Chopper,40.00,""Groceries"""
"Smart & Final,35.00,""Groceries"""
"Food Basics,30.00,""Groceries"""
"Gelson's Markets,65.00,""Groceries"""
"Food City,45.00,""Groceries"""
"Festival Foods,40.00,""Groceries"""
"Smith's Food and Drug,50.00,""Groceries"""
"Four Seasons Resort - Accommodation,3500.00,""Travel"""
"Business Class Flights - Paris Trip,7000.00,""Travel"""
"Bora Bora Luxury Villa - Vacation Rental,9000.00,""Travel"""
"Private Yacht Charter - Mediterranean Cruise,12000.00,""Travel"""
"Aman Tokyo Hotel - Luxury Stay,5500.00,""Travel"""
"Safari Adventure - Africa Trip,9500.00,""Travel"""
"Maldives Overwater Bungalow - Resort Stay,8000.00,""Travel"""
"First Class Flights - Caribbean Getaway,6000.00,""Travel"""
"Michelin Star Dining - Fine Dining Experience,1000.00,""Dining Out"""
"Exclusive Spa Retreat - Wellness Retreat,4500.00,""Travel"""
"Helicopter Tour - Grand Canyon Excursion,3000.00,""Travel"""
"Private Island Rental - Tropical Escape,14000.00,""Travel"""
"Venice Gondola Ride - Romantic Getaway,2500.00,""Travel"""
"Ski Chalet Rental - Alpine Vacation,7500.00,""Travel"""
"Heliskiing Adventure - Canadian Rockies,8500.00,""Travel"""
"VIP Concert Tickets - Music Festival,2000.00,""Entertainment"""
"Cruise Ship Vacation - Mediterranean Cruise,9500.00,""Travel"""
"Exclusive Wine Tasting - Napa Valley Tour,3000.00,""Travel"""
"Private Jet Charter - Luxury Travel,18000.00,""Travel"""
"Overseas Excursion - Asian Adventure,11000.00,""Travel"""
"Maui Beachfront Villa - Hawaii Vacation,6500.00,""Travel"""
"Michelin Star Restaurant - Gourmet Dining,800.00,""Dining Out"""
"Thailand Luxury Resort - Island Retreat,8500.00,""Travel"""
"Private Safari Guide - African Safari,7500.00,""Travel"""
"Turks and Caicos Villa - Beachfront Rental,10000.00,""Travel"""
"Exclusive Golf Retreat - Scottish Highlands,9500.00,""Travel"""
"Swiss Chalet - Skiing Holiday,5500.00,""Travel"""
"New York Penthouse - City Stay,6000.00,""Travel"""
"Private Island Getaway - Caribbean Escape,12000.00,""Travel"""
"Helicopter Tour - Hawaiian Islands,3500.00,""Travel"""
"French Riviera Yacht Charter - Luxury Cruise,18000.00,""Travel"""
"Rome Luxury Hotel - Historical Stay,5000.00,""Travel"""
"Private Wine Cellar - Wine Tasting Experience,1200.00,""Entertainment"""
"Secluded Villa - Tropical Paradise,8000.00,""Travel"""
"Michelin Star Dining - Culinary Delights,1200.00,""Dining Out"""
"Helicopter Skiing - Alaskan Adventure,9500.00,""Travel"""
"VIP Box Seats - Sporting Event,3000.00,""Entertainment"""
"Machu Picchu Expedition - Inca Trail Trek,6500.00,""Travel"""
"Bora Bora Bungalow - Overwater Stay,9500.00,""Travel"""
"Private Island Retreat - Indian Ocean Escape,14000.00,""Travel"""
"Venetian Palace - Luxury Accommodation,7500.00,""Travel"""
"Great Barrier Reef Cruise - Diving Adventure,8500.00,""Travel"""
"Exclusive Beachfront Villa - Maldives Vacation,11000.00,""Travel"""
"Paris Fashion Shopping - Designer Splurge,4500.00,""Shopping"""
"Tuscany Villa - Wine Country Escape,8500.00,""Travel"""
"Private Jet Charter - Bahamas Retreat,18000.00,""Travel"""
"Exclusive Spa Retreat - Wellness Getaway,5500.00,""Travel"""
