,0
0,Water Bill Payment - Municipality
1,Car Loan Payment - Auto Finance Inc.
2,Paycheck Deposit - ABC Corp.
3,Rent Payment - Apt #303
4,ATM Withdrawal - PQR Bank ATM
5,Utilities Payment - Gas and Electric
6,Lululemon - Activewear Shopping
7,Pharmacy - Prescription Medications
8,Phone Bill Payment - Mobile Co.
9,Utilities Payment - Internet Service
10,Amazon Prime Membership Renewal
11,Grocery Shopping - Fresh Grocers
12,Restaurant Lunch - Business Meeting
13,Transfer from Checking to Savings
14,Morrisons
15,Behavioral Therapy - Mental Health Counseling
16,Credit Card Payment - Visa **** 4567
17,Transfer from Savings to Checking - Emergency Fund
18,Coffee Shop - Cappuccino
19,Transfer to Vacation Fund
20,ATM Withdrawal - ABC Bank ATM
21,Tesco
22,Gas Station - Fuel Purchase
23,ATM Withdrawal - DEF Bank ATM
24,Target Grocery
25,ATM Withdrawal - JKL Bank ATM
26,Medical Lab - Blood Test
27,ATM Withdrawal - XYZ Bank ATM
28,ATM Withdrawal - GHI Bank ATM
29,Savings Account Interest - October
30,Online Retailer - Electronics Purchase
31,Coffee Shop - Morning Espresso
32,SuperValu
33,Credit Card Payment - American Express **** 3456
34,Fuel Purchase - Gas Station
35,HEB Grocery
36,Online Retailer - Clothing Purchase
37,Credit Card Payment - Visa **** 7890
38,Home Improvement - Hardware Store
39,Whole Foods Market
40,Smart & Final
41,Transfer to Emergency Fund
42,Target - Back-to-School Shopping
43,Transfer from Savings to Checking
44,Electronics Store - Gadget Purchase
45,Giant Food
46,Target - Discount Shopping
47,Coles
48,Credit Card Payment - Mastercard **** 5678
49,ATM Withdrawal - XYZ Bank Branch
50,Fast Food - Lunch Combo
51,Cotton On - Kids' Fashion
52,Kmart Super Centers
53,Coffee Shop - Morning Brew
54,Credit Card Payment - Mastercard **** 2345
55,Credit Card Payment - Visa **** 1234
56,Online Retailer - Outdoor Gear
57,Home Health Aide - In-Home Care
58,New Balance - Affordable Sportswear
59,Chase Credit Card Payment - Visa **** 1234
60,ATM Withdrawal - VWX Bank ATM
61,Transfer to Savings Account - Rainy Day Fund
62,Charitable Donation - Charity Name
63,Price Chopper
64,Save Mart Supermarkets
65,Kohl's - Department Store Purchase
66,Lidl
67,Online Shopping - Tech Accessories
68,Shaw's
69,Orthopedic Clinic - Knee Examination
70,Walmart Grocery
71,Home Depot - Home Improvement
72,Costco Wholesale
73,Monthly Service Fee - Bank Account
74,Maternity Clinic - Prenatal Checkup
75,Sainsbury's
76,Coffee Shop - Afternoon Pick-Me-Up
77,C&A - Budget Clothing
78,Meijer
79,Festival Foods
80,Online Shopping - Amazon
81,Credit Card Payment - Discover **** 9012
82,ATM Withdrawal - MNO Bank ATM
83,Transfer to Investment Account
84,Payless ShoeSource - Inexpensive Shoes
85,Walmart - Household Supplies
86,Restaurant - Dinner with Friends
87,Primark - Budget Fashion
88,Online Retailer - Tech Gadgets
89,Credit Card Payment - American Express **** 5678
90,Online Retailer - Home Decor
91,Netflix Subscription - Monthly Charge
92,Credit Card Payment - Mastercard **** 6789
93,Neurology Clinic - Neurological Assessment
94,Pain Management Clinic - Chronic Pain Relief
95,Wegmans
96,Physiatrist - Physical Medicine
97,Grocery Shopping - Neighborhood Store
98,Aldi
99,Electronics Store Purchase - Tech Haven
100,Gelson's Markets
101,Home Improvement Store - DIY Supplies
102,Grocery Store - Fresh Produce
103,Uniqlo - Affordable Denim
104,Smith's Food and Drug
105,ATM Withdrawal - STU Bank ATM
106,Credit Card Payment - American Express **** 6789
107,WinCo Foods
108,Online Shopping - Apparel
109,Physical Therapy Session - Back Pain
110,Woolworths
111,Zara - Clothing Purchase
112,Marks & Spencer
113,IGA
114,Hy-Vee
115,Waitrose
116,Plastic Surgery Center - Cosmetic Procedure
117,Old Navy - Family Apparel
118,Decathlon - Sportswear Shopping
119,Home Improvement - Renovation Supplies
120,Infusion Center - IV Therapy
121,Fast Food - Lunch on the Go
122,Whole Foods Market - Grocery Shopping
123,Trader Joe's
124,Amazon.com - Online Shopping
125,Albertsons
126,Nike - Sportswear Shopping
127,Publix Super Markets
128,Pediatric Urgent Care - Child's Illness Treatment
129,Dining Out - Restaurant Name
130,Home Improvement - Paint and Supplies
131,Acme Markets
132,Topshop - Affordable Style
133,Cotton On - Affordable Clothing
134,Charlotte Russe - Jewelry
135,ENT Specialist - Ear and Throat Exam
136,Food 4 Less
137,Charitable Donation - Red Cross
138,Allergy Clinic - Allergy Testing
139,Asda
140,Reproductive Health Center - Fertility Consultation
141,Puma - Budget Sportswear
142,BJ's Wholesale Club
143,Monthly Account Maintenance Fee
144,Converse Outlet - Discounted Sneakers
145,Gap - Kids' Fashion
146,Zara - Kids' Clothing
147,Home Health Nursing - In-Home Nursing Care
148,Restaurant Dinner - Date Night
149,Food Lion
150,Foot Locker - Athletic Footwear
151,Home Care Supplies - Medical Equipment
152,Food Basics
153,Forever 21 - Accessories
154,JCPenney - Discount Fashion
155,Harris Teeter
156,Coffee Shop - Latte and Croissant
157,Piggly Wiggly
158,Geriatric Care - Elderly Health Check
159,Walmart - Affordable Shopping
160,Safeway
161,ShopRite
162,PacSun - Casual Wear
163,Amazon - Online Shopping
164,Charitable Donation - Local Animal Shelter
165,Hematology Clinic - Blood Disorder Consultation
166,Grocery Shopping - Mega Mart
167,Grocery Shopping - Fresh Mart
168,Vision Center - Eye Exam
169,Invoice Settlement - Payment Account Amendment
170,Sport event tickets
171,V&I visa check fees 
172,ClothesOnline additional posting payment
173,Legal Penalty Settlement
174,Hotel Reservation - Travel Website
175,Bitcoin Doubler - Double Your Coins
176,Inheritance release banking charges covered
177,Electronics Purchase - Online Store
178,Diamond Investment Fund - High-Value Returns
179,WinBet Request Winnings Fee
180,High-Yield Investment Opportunity
181,Facebook Marketplace Upfront payment
182,InvestToday initial amount
183,Traffic Violation Fine
184,eBay securitng item payment
185,Police Admin Fees
186,Designer Handbag - Luxury Boutique
187,Binary Options Investment - Instant Profits
188,Bank Account Verification - Immediate Response Needed
189,Paycheck Deposit - Company Name
190,Phone Bill Payment - Wireless Provider
191,Internet Bill Payment - ISP Inc.
192,Home Hospice Care - End-of-Life Care
193,Grocery Store - Weekly Shopping
194,Mobile Phone Bill Payment - Mobile Co.
195,Interest Earned - Savings Account
196,Gap - Fashion Purchase
197,Boohoo - Cheap Fashion Finds
198,Grocery Shopping - Supermart
199,Pulmonology Center - Lung Function Test
200,Monthly Service Fee - Account Maintenance
201,Walmart - Household Essentials
202,Food City
203,Prescription Medications - Pharmacy
204,Optometrist - Vision Checkup
205,Forever 21 - Fashion Shopping
206,Online Shopping - Electronics
207,Urology Clinic - Urinary Health Check
208,Charlotte Russe - Affordable Apparel
209,Grocery Shopping - Super Value Mart
210,Fast Food - Dinner Combo
211,Speech-Language Pathologist - Speech Therapy
212,Kroger
213,Gynecologic Surgery - Surgical Procedure
214,H&M - Accessories
215,Uniqlo - Everyday Wear
216,Medical Nutrition Therapy - Dietary Consultation
217,Asos - Online Fashion Shopping
218,Cardiac Rehabilitation - Heart Health Program
219,H&M - Clothing Purchase
220,Home Improvement - Home Depot
221,Home Healthcare Services - Nursing Care
222,New Look - Fashion Bargains
223,Gadget Purchase - Tech Paradise
224,Publix
225,Endocrinology Clinic - Hormone Evaluation
226,Immunization Clinic - Vaccinations
227,Fry's Food Stores
228,Urban Outfitters - Affordable Fashion
229,Dermatologist - Skin Consultation
230,Grocery Store - Household Supplies
231,Sleep Apnea Center - Sleep Disorder Assessment
232,Sports Medicine Clinic - Injury Evaluation
233,Urgent Care Center - Injury Treatment
234,Forever 21 - Swimwear
235,Forever 21 - Activewear
236,"Money transfer - partner, emergency fund"
237,French Riviera Yacht Charter - Luxury Cruise
238,Private Yacht Charter - Mediterranean Cruise
239,Emergency Medical Expense for My Partner
240,Canary island holiday 
241,Mortgage assistance
242,Emergency medical transfer
243,Ralph Lauren - Fashion Purchase
244,Plane Ticket for Our Dream Vacation
245,Online Gift Purchase for My New Love
246,Neiman Marcus - Designer Shopping
247,Apple Store - Electronics Purchase
248,Dinner for two
249,Direct Deposit - Your Company Payroll
250,Podiatrist - Foot Examination
251,Electricity Bill Payment - Utility Co.
252,Ross Dress for Less - Bargain Shopping
253,Rheumatology Clinic - Joint Health Check
254,Rehabilitation Center - Physical Therapy
255,Zara - Affordable Fashion
256,Behavioral Health Counseling - Mental Health Support
257,Physical Rehabilitation - Injury Recovery
258,Acupuncture Therapy - Pain Relief
259,Psychiatrist - Therapy Session
260,Monthly Service Fee - Checking Account Maintenance
261,Medical Consultation - Doctor's Office
262,Behavioral Health Hospital - Inpatient Care
263,Old Navy - Casual Apparel
264,Speech and Hearing Center - Communication Evaluation
265,Behavioral Health Center - Counseling
266,Pediatric Dentistry - Child's Dental Care
267,Co-op
268,Dental Clinic - Teeth Cleaning
269,Physical Medicine and Rehabilitation - Therapy Session
270,Kohl's - Home Decor
271,Mango - Fashion Shopping
272,eBay Fee For Requested Refund
273,Inheritance Release - Pay the Legal Fees
274,Grant Approval - Small Processing Charge
275,Property Investment Purchase - Exclusive Deal
276,HMRC tax rebate upfront fee
277,Payment for Outstanding Tax Fine
278,Air bnb extra cleaning fees
279,IRS Tax Payment - Urgent Action Required
280,Guaranteed Returns - Investment Portfolio
281,Paycheck Deposit - XYZ Inc.
282,Doctor's Office - Medical Consultation
283,Ralphs
284,PacSun - Teen Fashion
285,Doctor's Office - Medical Checkup
286,Dental Implant Surgery - Implant Procedure
287,Primark - Budget Homeware
288,Pediatrician - Child's Checkup
289,Speech Therapy Session - Speech Disorder
290,Cardiology Clinic - Heart Checkup
291,Prosthetics Clinic - Prosthetic Limbs
292,Radiation Oncology - Cancer Treatment
293,Zalando - Affordable Online Shopping
294,Options Trading Returns - No Risk Strategy
295,Contractor Invoice Payment - New Bank Account
296,"Claim Your Lottery Winnings - Processing Fee"""
297,Internet Service Payment - Provider Name
298,Verizon Wireless - Monthly Phone Bill
299,Boohoo - Trendy Fashion
300,Chiropractor - Spinal Adjustment
301,Aldo - Affordable Footwear
302,Hollister - Youth Fashion
303,Gastroenterologist - Digestive Health Check
304,Telemedicine Consultation - Remote Medical Advice
305,Occupational Therapy - Injury Recovery
306,Invoice Payment Revision - Vendor Account
307,Commodity Futures Investment - High-Yield
308,Rent Payment - Apt #203
309,Radiology Center - X-ray Scan
310,Dental Surgery - Wisdom Tooth Extraction
311,Geriatric Psychiatry - Elderly Mental Health
312,General Hospital - Checkup
313,Asos - Men's Clothing
314,Orthodontic Office - Braces Adjustment
315,Eye Surgery Center - LASIK Surgery
316,Neurological Surgery - Brain Surgery
317,Law Enforcement Fine - Pay Now to Avoid Arrest
318,Invoice Payment Amendment
319,Utilities Payment - Water and Sewer
320,Sleep Clinic - Sleep Study
321,Clothing Store Purchase - Fashion World
322,Salary Deposit - ABC Company
323,Neonatology - Newborn Care
324,Geriatric Dentistry - Elderly Dental Care
325,Exclusive Investment Offer - Limited Time
326,Foreign Exchange Investment - Safe and Secure
327,Salary Deposit - XYZ Corporation
328,Orthopedic Surgery - Joint Replacement
329,Audiologist - Hearing Test
330,Contractor Payment - Revised Payment Instructions
331,Forex Trading Profits - Expert Strategy
332,Supplier Payment - Updated Bank Details
333,Paycheck Deposit - Your Company Payroll
334,Utilities Payment - Electricity
335,Orthopedic Rehabilitation - Joint Recovery
336,Family Medicine - Primary Care Visit
337,Veterinary Clinic - Pet Checkup
338,Gynecologist - Women's Health Check
339,Payment to Supplier - Account Details Amendment
340,Mobile Phone Bill - Service Provider
341,Paycheck Deposit - Your Employer
342,Pediatric Cardiology - Child's Heart Check
